A ESTRUTURA TEM AS SEGUINTES INFORMAÇÕES: 
tempo de compilação: 102628134 nanosegundos
números de comparações de chaves: 77786
número de colisões: 4259

Palavra                          Frequencia
shone                            3
shook                            13
shoot                            1
shop                             3
shop-window                      1
shore                            1
short                            12
shorter                          1
shortly                          2
should                           68
should-like-that                 1
shoulder                         14
shoulders                        10
shouldnt                         7
shout                            5
shouted                          7
shoutin                          1
shouting                         3
shouts                           2
show                             18
showed                           23
showin                           2
showing                          5
shown                            3
shows                            2
shrank                           1
shrewd                           3
shrewdly                         1
shriek                           1
shrieked                         1
shrinking                        1
shrubbery                        8
shrubs                           3
shrunk                           1
shuddered                        1
shuddering                       2
shut                             33
shuts                            1
shutting                         2
shuttle                          1
shy                              3
shyer                            1
shyly                            1
shyness                          1
sick                             3
sickly                           6
side                             38
sides                            1
sideways                         1
sidled                           1
sigh                             1
sighed                           4
sight                            22
sign                             1
signal                           1
signet                           1
significant                      1
signs                            2
silence                          6
silent                           8
silently                         2
silk                             6
silly                            7
silver                           5
simple                           9
simplest                         1
simply                           2
since                            21
sinetifik                        1
sing                             15
singin                           5
singing                          5
single                           3
sings                            1
singular                         3
sinking                          1
sir                              42
sir-i                            1
sister                           5
sisters                          7
sit                              15
sits                             1
sittin                           3
sitting                          20
sitting-room                     2
six                              6
sixteen                          2
size                             3
sizes                            1
sizzling                         1
skies                            1
skin                             2
skins                            1
skip                             15
skipped                          11
skippin                          2
skipping                         4
skipping-rope                    8
skipping-rope-and                1
skippinrope                      2
skippinropes                     3
sky                              25
skylark                          1
skylarks                         5
slammed                          1
slamp                            1
slanting                         4
slap                             1
slapped                          6
slapping                         1
sleep                            26
sleep-in                         1
sleepy                           3
sleeve                           2
sleeves                          1
slender                          2
slept                            10
slice                            2
slices                           2
slight                           4
slightest                        1
slightly                         2
slim                             1
slip                             6
slipped                          7
slipping                         1
slow                             9
slowly                           45
slowly-slowly                    1
slowly-slowly-for                1
slunk                            1
sly                              1
slyly                            1
small                            20
smaller                          2
smart                            2
smell                            8
smellin                          1
smelling                         1
smells                           5
smelt                            1
smile                            16
smiled                           12
smiles                           1
smiling                          8
smothered                        1
smothering                       1
snake                            3
snake-charmer                    1
snake-charmers                   1
snakes                           3
snapdragon                       1
snapped                          4
snatching                        1
sneered                          1
sneeze                           2
sniff                            3
sniffed                          4
sniffin                          2
sniffing                         4
snore                            1
snorts                           1
snow                             2
snow-white                       4
snowdrops                        9
snowy                            1
snubbed                          1
snubbing                         1
so                               352
so-as                            1
soaked                           1
soared                           1
soarin                           1
soart                            2
sob                              2
sobbed                           3
sobbing                          4
sobs                             2
sod                              1
sofa                             17
soft                             28
soft-hearted                     1
softened                         1
softly                           21
softness                         2
soil                             10
soldiers                         2
solemn                           5
solemnity                        2
solemnly                         5
solicit                          2
solicitation                     1
some                             98
somebody                         2
somehow                          17
someone                          24
someonell                        1
someones                         1
somethin                         10
something                        98
something-something              1
something-to                     1
sometime                         6
sometimes                        44
somewhat                         2
somewhere                        8
son                              2
song                             14
song-almost                      1
song-you                         1
songs                            2
sons                             1
soon                             16
soot                             20
soothed                          2
soothing                         2
sorrier                          1
sorrow                           1
sorrowful                        1
sorry                            20
sort                             46
sorts                            8
soul                             7
souls                            1
sound                            36
sound-it                         1
sounded                          8
sounding                         1
soundly                          1
sounds                           26
sour                             16
sour-faced                       1
source                           1
sources                          1
sourer                           1
sourly                           1
sovereign                        1
sowerby                          31
sowerbys                         7
sown                             1
space                            3
spade                            22
span                             1
spare                            1
spared                           1
sparkle                          1
sparkling                        1
speak                            22
speaking                         15
special                          2
specified                        2
speck                            1
speech                           8
speed                            2
spell                            4
spellbound                       1
spellin                          1
spend                            2
spent                            6
speriment                        1
spick                            1
spike                            1
spikes                           1
spilling                         1
spine                            4
spires                           1
spirit                           2
spirits                          5
spite                            11
spiteful                         1
splash                           1
splashes                         1
splashing                        1
splendid                         5
spoil                            2
spoiled                          5
spoiled-everything               1
spoke                            36
spoken                           7
spoon                            1
sports                           1
spot                             1
spot-as                          1
spots                            3
sprang                           6
spray                            2
sprays                           7
spread                           17
spreading                        3
spring                           15
spring-the                       1
springing                        1
springs                          1
springtime                       15
springtimes                      2
sprouting                        2
sprung                           2
square                           1
squawks                          1
squeaking                        1
squeezed                         1
squirrel                         7
squirrels                        9
stable                           2
staff                            1
stage                            1
stagnant                         1
staircase                        2
stairs                           3
stammered                        5
stamp                            1
stamped                          3
stamping                         2
stand                            26
stand-and                        1
standard                         5
standin                          1
standing                         33
stands                           4
stare                            11
stared                           34
stared-as                        1
stares                           2
starin                           2
staring                          8
stars                            2
start                            10
started                          7
starting                         3
startle                          1
startled                         16
startles                         1
startling                        1
startlingly                      1
starvation                       1
starve                           1
state                            9
statements                       1
states                           20
station                          6
station-master                   2
stations                         1
status                           4
stay                             35
stayed                           12
staying                          3
stays                            1
stead                            1
steadied                         1
steadily                         6
steady                           5
stealing                         1
steam                            1
steel                            1
stems                            2
step                             6
stepladder                       1
stepped                          3
stepping                         2
steps                            6
sternly                          1
stick                            4
stickin                          1
sticking                         3
sticks                           2
stiff                            7
stiffer                          1
stiffest                         1
stiffly                          4
stifle                           1
stifling                         1
still                            72
still-she                        1
stiller                          2
stillness                        7
stills                           1
stimulated                       1
stimulating                      1
stir                             1
stirred                          4
stirrin                          1
stirring                         4
stirring-almost                  1
stockin                          1
stocking                         2
stockings                        4
stolen                           1
stomach                          3
stomachs                         1
stone                            4
stones                           7
stony                            1
stood                            69
stool                            8
stooped                          2
stooping                         1
stop                             25
stopped                          54
stopping                         4
stops                            2
store                            1
stored                           1
stories                          10
storm                            1
storms                           1
story                            7
stout                            3
stoutly                          5
straggled                        1
straight                         14
straight-legged                  1
straightened                     1
straightening                    1
straighter                       4
strange                          50
strangely                        3
stranger                         3
strangers                        2
strangest                        5
straw                            1
streaked                         1
streaks                          1
stream                           4
streamed                         2
streaming                        3
streams                          1
street                           1
strength                         9
stretch                          2
stretched                        4
stretching                       1
strict                           1
strike                           2
string                           1
strings                          1
stringy                          1
strip                            1
striped                          1
stroke                           2
stroked                          2
stroking                         1
strong                           33
stronger                         14
stronger-as                      1
strongest                        3
strongly                         3
struck                           2
struggle                         1
stubborn                         1
stubbornly                       3
stuck                            6
studded                          1
study                            3
stuff                            2
stuffed                          1
stumbling                        1
stump                            1
stupid                           3
sturdy                           4
subject                          3
submitted                        1
subscribe                        1
subservient                      1
substantial                      1
succeeded                        2
succeeds                         1
such                             84
suck                             1
sudden                           15
suddenly                         44
sufficient                       1
sufficiently                     1
sugar                            2
suggest                          1
suggested                        10
suggestion                       2
suggestive                       1
suits                            1
sulky                            1
summat                           1
summer                           8
summer-time                      1
sun                              36
sun-dial                         1
sun-which                        1
sunday                           1
sung                             3
sunlight                         2
sunlit                           1
sunniest                         1
sunny                            1
sunrise                          2
suns                             1
sunset                           1
sunshine                         9
sup                              1
superb                           1
supper                           6
supplied                         1
support                          5
supported                        2
suppose                          11
supposed                         2
suppressed                       1
sure                             68
sure-didnt                       1
surefor                          1
surely                           3
surly                            6
surprise                         6
surprised                        11
surprising                       1
surrounding                      1
survive                          1
susan                            23
suspect                          2
suspicion                        1
swallow                          1
swallowed                        1
swamp                            1
swarm                            1
sway                             3
swayin                           1
swaying                          2
sweat                            1
sweep                            1
sweet                            9
sweet-scented                    1
sweet-smellin                    1
sweet-temperedly                 1
sweeter                          1
sweetest                         2
sweetly                          1
sweetness                        1
sweets                           1
swelled                          1
swellin                          1
swelling                         3
swept                            7
swiftly                          1
swim                             1
swing                            1
swingin                          1
swinging                         7
swish                            1
switzerland                      1
swollen                          2
swum                             1
swung                            2
sylum                            1
sympathetic                      2
sympathetically                  1
sympathy                         1
synonymous                       1
table                            13
table-particularly               1
tactless                         1
tail                             4
tail-feathers                    1
take                             45
taken                            20
takes                            3
takin                            2
taking                           8
talk                             75
talk-they                        1
talkative                        1
talked                           41
talkin                           7
talking                          20
talks                            7
tall                             8
tall-his                         1
taller                           2
tallest                          2
tame                             2
tamed                            1
tangle                           5
tangled                          2
tangles                          1
tantrum                          9
tantrums                         7
tantum                           1
tapestried                       1
tapestries                       1
tapestry                         6
tapestry-the                     1
tastes                           1
taters                           2
taught                           7
tax                              6
taxes                            1
tea                              14
tea-basket                       1
tea-time                         1
tea-tray                         1
teach                            2
teaches                          1
teaching                         1
tear                             2
tears                            8
tease                            2
teasing                          1
teeth                            3
tell                             103
tellin                           1
telling                          4
tells                            1
temper                           9
temper-just                      1
tempered                         1
tempers                          5
temple                           2
temples                          1
temporarily                      1
tempt                            1
tempting                         1
ten                              40
ten-year-old                     1
tend                             2
tended                           1
tender                           4
tenderly                         1
tenderness                       1
tending                          1
tendrils                         3
terms                            22
terrace                          1
terrible                         2
terrified                        1
terror                           4
terrors                          1
terrors-if                       1
testily                          2
texts                            1
th                               369
tha                              221
tha-thas                         1
thad                             15
thall                            18
thalt                            7
than                             104
thank                            8
thankful                         2
thankfully                       1
thanking                         1
thart                            20
thas                             30
thaself                          2
thast                            2
that                             782
that-that                        2
thatd                            1
thatha                           2
thats                            50
the                              2956
thee                             87
thee-an                          1
thee-he                          1
thee-thats                       1
their                            103
theirselves                      2
them                             238
them-a                           1
them-and                         1
them-in                          1
them-not                         1
them-she                         1
them-the                         1
thems                            4
themselves                       36
themselves-nothing               1
then                             161
then-if                          1
then-in                          1
there                            354
there-good                       1
there-i                          1
there-not                        1
there-there                      1
thered                           4
therell                          4
theres                           74
theresomething                   1
these                            25
they                             430
theyd                            6
theyll                           7
theyre                           28
theys                            1
theyve                           7
thick                            22
thickening                       1
thicker                          2
thickly                          3
thin                             32
thine                            1
thing                            95
things                           200
things-but                       1
things-nice                      1
think                            123
think-i                          2
think-ill                        1
thinkin                          10
thinking                         54
thinks                           13
thinness                         1
third                            1
thirsty                          2
thirteen                         2
thirty                           1
this                             271
this-but                         1
thistle                          1
thorn                            1
thoroughly                       1
those                            23
though                           50
thought                          163
thought-as                       1
thoughtful                       4
thoughtfully                     2
thoughts                         10
thoughts-are                     1
thoughts-just                    1
thousand                         5
thousands                        15
thowt                            2
threatened                       1
threatening                      1
threateningly                    1
three                            19
threepence                       1
threw                            15
thrill                           1
thrilling                        3
thrive                           1
thrived                          1
thrives                          1
throat                           8
through                          79
throughout                       1
throw                            6
throwed                          1
throwing                         1
thrown                           6
throws                           1
thrush                           7
thrushes                         2
thrust                           1
thumb                            1
thump                            2
thus                             1
thwaite                          10
thy                              21
thysel                           9
thyselhidin                      1
thysen                           2
tidy                             4
tied                             3
tigers                           3
tight                            2
tight-curled                     1
tighter                          2
tightly                          2
till                             15
tilted                           4
tilting                          2
time                             118
time-or                          2
times                            24
times-callin                     1
times-not                        1
timid                            2
tin                              1
tinge                            1
tiniest                          1
tint                             1
tints                            1
tiny                             20
tip                              1
tire                             3
tired                            34
tiredness                        1
tires                            1
tiresome                         2
tiring                           1
title                            1
to                               2080
toast                            2
today                            17
toddling                         1
together                         31
together-lilies                  1
told                             82
tomorrow                         10
tone                             4
tongue                           1
tonight                          1
too                              110
too-and                          1
took                             54
tools                            8
toothache                        2
top                              12
topmost                          1
tops                             4
torn                             1
torrent                          1
torrents                         2
tossed                           1
tother                           2
totter                           1
touch                            2
touched                          10
touches                          1
touching                         2
tough                            2
tousled                          1
toward                           28
towards                          2
toy                              1
toys                             3
tracts                           1
trademark                        13
trademarkcopyright               1
trailed                          1
trailing                         3
trails                           1
train                            3
trained                          5
tramp                            1
tramped                          1
trample                          1
transcribe                       1
transcription                    1
transform                        1
transported                      1
travel                           1
traveled                         2
tray                             2
treacle                          1
treated                          1
treating                         1
treatment                        1
tree                             49
tree-all                         1
tree-an                          1
tree-top                         3
tree-tops                        4
trees                            46
treetop                          1
tremble                          2
trembled                         3
trembling                        3
tremendously                     4
tremulous                        1
tremulously                      2
tricks                           1
tried                            19
tries                            1
trifle                           6
trill                            1
trimmed                          1
triumphant                       1
triumphantly                     2
trooping                         1
trotted                          3
trouble                          11
troubled                         9
troubles                         3
trout                            1
trowel                           8
trowel-and                       1
trowelfuls                       1
true                             11
true-but                         1
truly                            1
trumpets                         2
trunk                            4
trunks                           2
trust                            5
trusted                          3
trusted-if                       1
trustiest                        1
trusty                           3
truth                            9
try                              32
trying                           9
tucked                           4
tuesday                          1
tumble                           3
tumbled                          4
tumbling                         1
tune                             2
tuppence                         2
turn                             14
turned                           64
turned-up                        3
turnin                           1
turning                          17
turnips                          1
turns                            2
turrets                          1
tweaked                          1
twelve                           14
twenty                           1
twice                            12
twig                             5
twigs                            1
twilight                         3
twinkled                         1
twinkling                        3
twist                            1
twisted                          2
twisting                         1
twitching                        2
twitter                          3
twittered                        3
twittering                       2
two                              65
two-pence                        1
tying                            1
types                            1
typhoid                          2
typhus                           1
tyrannical                       1
tyrol                            1
ud                               4
uglier                           1
ugly                             7
un                               9
un-hysterical                    1
unaccustomed                     1
unaffected                       1
unattractive                     2
unbelieving                      1
unbolt                           1
unbolted                         1
unbound                          1
uncanny                          1
unceasingly                      1
unceremoniously                  1
uncertainly                      1
unchained                        1
unchanging                       1
uncle                            6
uncomfortable                    3
uncomfortably                    1
uncompanionable                  1
unconsciously                    1
uncontrollable                   2
uncovered                        1
uncurl                           1
uncurl-and                       1
uncurled                         1
uncurlin                         1
uncurling                        2
under                            75
undergardeners                   1
underground                      1
underneath                       1
understand                       21
understanding                    3
understanding-and                1
understood                       14
underworld                       1
undignified                      1
undiscovered                     1
undisturbedly                    1
undo                             1
unearthly                        1
unenforceability                 1
unexpectedly                     1
unfortunately                    1
unfriendly                       1
unfurl                           1
unfurling                        1
unhappy                          3
unhealthy                        1
uniform                          1
uninterested                     1
united                           15
unknown                          3
unless                           5
unlike                           3
unlink                           1
unlocked                         2
unloving                         1
unnatural                        3
unpleasant                       1
unpopular                        1
unpromising                      1
unprotected                      1
unrelenting                      1
unresponsive                     1
unrestrainedly                   1
uns                              3
unscrupulous                     1
unseeing                         1
unsheath                         1
unsolicited                      1
unsympathetic                    1
unsympathetically                2
untidy                           1
untied                           1
until                            67
untouched                        2
untrained                        1
untrimmed                        1
unusual                          2
up                               315
up-a                             1
up-and                           1
up-hill                          1
updated                          2
upholding                        2
uplifted                         2
uplifting                        2
upon                             35
upper                            1
upper-housemaids                 1
upright                          4
upright-upright-as               1
upset                            1
upstairs                         5
urged                            1
urns                             3
us                               72
us-like                          1
usd                              2
use                              17
used                             44
useful                           1
user                             3
using                            7
usll                             4
usual                            6
usually                          4
ut                               1
utter                            1
v                                2
vaguely                          1
vain                             1
valley                           7
valleys                          1
vanilla                          2
vanity                           1
variety                          1
various                          1
vault                            3
vegetables                       5
veil                             5
veins                            3
velvet                           10
ventured                         5
veranda                          3
verdure                          1
version                          1
very                             168
vexed                            3
vexes                            1
vi                               2
vicarage                         1
vicious                          1
victuals                         4
viewed                           1
viewing                          1
vigor                            1
vii                              2
viii                             2
villa                            3
village                          3
violates                         1
violently                        1
violet                           1
virus                            1
visit                            4
visitin                          1
visitor                          1
visits                           1
vixen                            2
voice                            35
voice-about                      1
voices                           6
voices-exclamations              1
void                             1
volubly                          1
volunteer                        1
volunteered                      1
volunteers                       5
voyage                           2
voyages                          1
waft                             2
wafts                            3
wages                            2
wailed                           2
wailin                           1
wailing                          3
wails                            1
waistcoat                        3
wait                             9
waited                           12
waitin                           3
waiting                          16
waits                            1
waken                            3
wakened                          7
wakenin                          1
waking                           1
walderhurst                      1
walk                             58
walked                           40
walked-an                        1
walkin                           4
walking                          7
walks                            4
wall                             59
wall-into                        1
wall-much                        1
walled                           1
walls                            32
wander                           1
wandered                         4
wanderin                         3
wandering                        6
wanderings                       2
wands                            1
want                             106
wanted                           53
wanting                          2
wants                            20
war                              1
wardrobe                         1
warm                             24
warm-warm                        1
warmed                           2
warmer                           1
warmin                           1
warming                          1
warmness                         1
warned                           1
warning                          2
warning-not                      1
warrant                          13
warranties                       3
warranty                         2
was                              1369
was-and                          1
was-how                          1
was-so                           1
was-sounded                      1
wash-tub                         1
washed                           1
washing                          2
wasna                            1
wasnt                            18
waste                            3
wasted                           1
wasthere                         1
watch                            15
watched                          19
watches                          1
watchful                         1
watchin                          6
watching                         15
water                            8
water-gardens                    1
water-rats                       2
watering-can                     1
waterproof                       2
waterproofs                      1
waters                           2
wave                             1
waved                            7
waving                           1
wax                              1
waxen                            1
waxy                             1
way                              120
way-and                          1
way-or                           1
ways                             21
we                               97
weak                             14
weak-backed                      1
weakness                         1
wear                             2
weariness                        1
weather                          4
weather-beaten                   1
weather-wrinkled                 1
weathers                         1
weatherstaff                     100
weatherstaffs                    15
web                              1
website                          4
wed                              3
weed                             2
weeded                           3
weeding                          5
weeds                            7
week                             13
week-and                         1
weeks                            5
weighs                           1
weird                            3
well                             98
well-do                          1
well-getting                     1
well-trained                     1
wellim                           1
wench                            7
went                             116
were                             363
werent                           1
wert                             1
west                             2
wet                              9
weve                             6
whad                             1
what                             288
whatever                         8
whatll                           1
whats                            10
whatsoever                       2
wheel                            3
wheeled                          9
wheels                           1
when                             472
whenever                         3
where                            88
wheres                           1
wheresever                       1
wherever                         1
whether                          9
which                            180
while                            36
while-if                         1
whine                            1
whining                          1
whinnied                         1
whinnies                         1
whipped                          1
whirl                            1
whirled                          1
whisked                          1
whisper                          14
whispered                        16
whispering                       4
whispers                         3
whispers-and                     1
whistle                          5
whistle-a                        1
whistled                         3
whistlin                         2
whistling                        2
white                            32
white-thorn                      1
whiteness                        1
whitewashed                      1
who                              138
who-what                         1
whoever                          2
whole                            25
whom                             6
whose                            14
why                              72
wi                               10
wick                             9
wicked                           1
wide                             24
widened                          1
widening                         1
wider                            3
widespread                       1
widest                           2
wife                             7
